#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
164,0.806949,3.7932,3.7762,0.6947,3.6314,3.4832,3.2167,3.0704,2.9151,2.617,2.5739,2.4484
165,0.807172,3.7904,3.7583,0.7018,3.6239,3.4724,3.2016,3.0528,2.8954,2.5928,2.5491,2.4216
166,0.807391,3.7874,3.7389,0.7091,3.6183,3.4628,3.1868,3.0351,2.8751,2.5673,2.5228,2.3932
167,0.807605,3.7839,3.7176,0.7163,3.6143,3.4543,3.1726,3.0177,2.8549,2.5415,2.4961,2.3639
168,0.807817,3.7803,3.696,0.7236,3.6105,3.4458,3.1586,3.0004,2.8348,2.5157,2.4694,2.3347
169,0.808026,3.7766,3.6744,0.7309,3.6068,3.4375,3.1445,2.9829,2.8144,2.4895,2.4424,2.305
170,0.808233,3.773,3.6525,0.7385,3.6035,3.4294,3.1304,2.9654,2.794,2.4632,2.4152,2.275
171,0.808437,3.7696,3.6311,0.7461,3.5993,3.4205,3.1158,2.9476,2.7734,2.437,2.3881,2.2453
172,0.808638,3.7664,3.6105,0.7541,3.5934,3.4101,3.1003,2.9292,2.7525,2.411,2.3612,2.2161
173,0.808831,3.7634,3.5902,0.7624,3.5859,3.3986,3.0838,2.9099,2.731,2.3848,2.3342,2.1867
174,0.809017,3.7606,3.5703,0.7711,3.5767,3.3854,3.066,2.8896,2.7086,2.3579,2.3066,2.1569
175,0.809193,3.758,3.551,0.7803,3.5655,3.3706,3.047,2.8683,2.6853,2.3305,2.2786,2.127
176,0.80936,3.7557,3.5324,0.7899,3.5522,3.354,3.0267,2.8459,2.6612,2.3027,2.2502,2.0969
177,0.809517,3.7536,3.5143,0.7998,3.5371,3.3359,3.0051,2.8224,2.6362,2.2746,2.2215,2.0666
178,0.809666,3.7518,3.497,0.81,3.5203,3.3164,2.9825,2.7981,2.6106,2.2461,2.1924,2.0361
179,0.809808,3.7503,3.4802,0.8205,3.5023,3.2958,2.959,2.7731,2.5842,2.2171,2.1631,2.0055
180,0.809943,3.7487,3.4638,0.831,3.4836,3.2748,2.9352,2.7477,2.5576,2.1879,2.1335,1.9746
181,0.810073,3.7475,3.4479,0.8417,3.4638,3.2528,2.9106,2.7217,2.5304,2.1584,2.1036,1.9437
182,0.810217,3.7462,3.4303,0.8543,3.4396,3.2263,2.8816,2.6913,2.4989,2.1245,2.0694,1.9085
183,0.810357,3.745,3.4129,0.8671,3.4139,3.1986,2.8516,2.66,2.4666,2.0901,2.0346,1.8727
184,0.810497,3.7439,3.3955,0.8803,3.3869,3.1698,2.8207,2.628,2.4337,2.0553,1.9995,1.8367
185,0.810635,3.743,3.3783,0.8936,3.3587,3.14,2.789,2.5953,2.4001,2.0201,1.964,1.8004
186,0.810772,3.7421,3.3612,0.9072,3.3299,3.1097,2.757,2.5623,2.3663,1.9848,1.9284,1.764
187,0.810906,3.7412,3.3442,0.9209,3.3002,3.0786,2.7243,2.5288,2.3322,1.9491,1.8925,1.7274
188,0.811041,3.7404,3.3273,0.9348,3.2696,3.0468,2.6911,2.4949,2.2977,1.9134,1.8565,1.6909
189,0.811175,3.7397,3.3105,0.9487,3.2386,3.0147,2.6578,2.4608,2.2631,1.8776,1.8205,1.6543
190,0.811307,3.739,3.2938,0.9627,3.2071,2.9821,2.624,2.4264,2.2282,1.8417,1.7844,1.6175
191,0.811439,3.7384,3.2771,0.9768,3.1752,2.9491,2.59,2.3918,2.1931,1.8056,1.7482,1.5808
192,0.811571,3.7377,3.2606,0.9909,3.1431,2.916,2.5559,2.3571,2.158,1.7695,1.7119,1.5441
193,0.811702,3.7372,3.2442,1.0051,3.1106,2.8827,2.5215,2.3223,2.1228,1.7334,1.6757,1.5073
194,0.811832,3.7366,3.2278,1.0193,3.0778,2.8491,2.487,2.2873,2.0874,1.6971,1.6392,1.4704
195,0.811961,3.736,3.2113,1.0336,3.0448,2.8153,2.4522,2.2521,2.0518,1.6607,1.6027,1.4334
196,0.81209,3.7355,3.1949,1.0481,3.0112,2.7809,2.4171,2.2165,2.0159,1.624,1.5659,1.3962
197,0.812217,3.735,3.1784,1.0626,2.9773,2.7463,2.3817,2.1807,1.9797,1.5871,1.5288,1.3587
198,0.812344,3.7345,3.1619,1.0774,2.9432,2.7114,2.346,2.1445,1.9433,1.5499,1.4915,1.321
199,0.812469,3.7341,3.1452,1.0922,2.9086,2.6762,2.3099,2.1081,1.9065,1.5125,1.4539,1.283
200,0.812594,3.7336,3.1285,1.1071,2.8736,2.6404,2.2735,2.0713,1.8694,1.4746,1.4159,1.2446
201,0.812718,3.7331,3.1116,1.1221,2.8384,2.6046,2.2369,2.0343,1.8321,1.4366,1.3777,1.206
202,0.812839,3.7327,3.0948,1.1372,2.8027,2.5682,2.1999,1.9969,1.7944,1.3983,1.3394,1.1673
203,0.812957,3.7322,3.0772,1.1531,2.7655,2.5304,2.1612,1.9578,1.7551,1.3583,1.2992,1.1267
204,0.813071,3.7318,3.0593,1.1692,2.7275,2.4916,2.1217,1.918,1.715,1.3174,1.2582,1.0854
205,0.813183,3.7313,3.041,1.1857,2.6887,2.4521,2.0814,1.8774,1.674,1.2759,1.2164,1.0432
206,0.813292,3.7308,3.0224,1.2025,2.6492,2.4119,2.0404,1.836,1.6323,1.2335,1.1739,1.0002
207,0.813398,3.7304,3.0035,1.2196,2.6089,2.3709,1.9987,1.7939,1.5899,1.1903,1.1306,0.9565
208,0.813502,3.7299,2.9842,1.2369,2.5684,2.3295,1.9564,1.7512,1.5468,1.1464,1.0866,0.9121
209,0.813602,3.7293,2.9644,1.2546,2.5271,2.2874,1.9135,1.7077,1.503,1.1018,1.0418,0.8668
210,0.8137,3.7287,2.9443,1.2725,2.4854,2.2449,1.8699,1.6635,1.4585,1.0564,0.9962,0.8207
211,0.813794,3.7282,2.9239,1.2906,2.4435,2.2019,1.8259,1.619,1.4135,1.0104,0.95,0.774
212,0.813886,3.7276,2.9034,1.309,2.4007,2.1582,1.7811,1.5737,1.3678,0.9638,0.9033,0.7268
213,0.813976,3.727,2.8825,1.3276,2.3578,2.1142,1.736,1.528,1.3217,0.9167,0.856,0.679
214,0.814062,3.7264,2.8613,1.3463,2.3145,2.0697,1.6904,1.4819,1.2751,0.8691,0.8082,0.6306
215,0.814147,3.7258,2.8399,1.3653,2.2712,2.0253,1.6445,1.4353,1.228,0.8209,0.7598,0.5816
216,0.814228,3.7252,2.8186,1.3844,2.2267,1.9797,1.5979,1.3881,1.1804,0.7723,0.7111,0.5325
217,0.814246,3.7251,2.8138,1.3887,2.2167,1.9695,1.5875,1.3775,1.1697,0.7614,0.7001,0.5214
218,0.814264,3.7249,2.8088,1.3931,2.2069,1.9593,1.577,1.3668,1.1589,0.7504,0.689,0.5101
219,0.814282,3.7248,2.8039,1.3974,2.1967,1.9489,1.5663,1.3561,1.148,0.7393,0.6779,0.4989
220,0.8143,3.7247,2.799,1.4018,2.1866,1.9386,1.5557,1.3453,1.1371,0.7282,0.6668,0.4876
221,0.814319,3.7245,2.7941,1.4062,2.1765,1.9282,1.545,1.3346,1.1263,0.717,0.6555,0.4763
222,0.814337,3.7244,2.789,1.4106,2.1665,1.918,1.5344,1.3237,1.1153,0.7058,0.6443,0.4649
223,0.814355,3.7242,2.784,1.4151,2.1565,1.9075,1.5237,1.3129,1.1043,0.6946,0.633,0.4535
224,0.814372,3.7241,2.779,1.4195,2.1461,1.897,1.5129,1.3019,1.0933,0.6833,0.6217,0.442
225,0.81439,3.724,2.774,1.424,2.1357,1.8863,1.502,1.2908,1.0821,0.6719,0.6103,0.4305
226,0.814407,3.7238,2.769,1.4285,2.1253,1.8757,1.491,1.2798,1.0709,0.6605,0.5988,0.419
227,0.814565,3.7224,2.7212,1.4709,2.0282,1.7758,1.3884,1.1756,0.9658,0.5529,0.4908,0.3097
228,0.814713,3.721,2.6724,1.514,1.9299,1.6746,1.2841,1.0698,0.8587,0.4433,0.3807,0.1984
229,0.814841,3.7196,2.6259,1.5549,1.8373,1.5791,1.1855,0.9697,0.7574,0.3395,0.2765,0.0929
230,0.814967,3.7182,2.5766,1.5984,1.7385,1.4773,1.0805,0.863,0.6495,0.2289,0.1655,-0.0194
231,0.815082,3.7168,2.5273,1.6422,1.6392,1.3749,0.9748,0.7558,0.5409,0.1178,0.054,-0.1322
232,0.815184,3.7152,2.4797,1.6839,1.5457,1.2781,0.8747,0.654,0.4379,0.012,-0.0523,-0.2398
233,0.815284,3.7136,2.429,1.7282,1.4471,1.1758,0.7687,0.5462,0.3288,-0.1,-0.1648,-0.3539
234,0.815371,3.7119,2.3802,1.7704,1.3536,1.0786,0.6677,0.4434,0.2246,-0.2071,-0.2725,-0.463
