#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=13.000 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
190,0.792893,3.7385,3.3006,0.9438,3.2576,3.0314,2.6721,2.474,2.2753,1.8878,1.8304,1.6632
191,0.793071,3.7379,3.284,0.958,3.2252,2.9982,2.6379,2.4392,2.2401,1.8516,1.794,1.6263
192,0.793249,3.7373,3.2676,0.9723,3.1927,2.9648,2.6035,2.4043,2.2047,1.8154,1.7576,1.5894
193,0.793425,3.7367,3.2512,0.9865,3.1599,2.9311,2.5689,2.3692,2.1693,1.7791,1.7213,1.5525
194,0.7936,3.7361,3.2348,1.0009,3.1267,2.8971,2.5341,2.3339,2.1336,1.7426,1.6846,1.5155
195,0.793774,3.7356,3.2184,1.0153,3.0931,2.8629,2.4989,2.2984,2.0978,1.706,1.6479,1.4783
196,0.793946,3.7351,3.202,1.0299,3.0593,2.8282,2.4636,2.2625,2.0616,1.6691,1.6108,1.4409
197,0.794116,3.7347,3.1855,1.0445,3.025,2.7933,2.4279,2.2264,2.0251,1.6319,1.5735,1.4032
198,0.794285,3.7342,3.1689,1.0593,2.9905,2.758,2.3917,2.19,1.9884,1.5945,1.536,1.3652
199,0.794452,3.7337,3.1522,1.0743,2.9555,2.7223,2.3553,2.1532,1.9513,1.5567,1.498,1.3269
200,0.794616,3.7333,3.1354,1.0894,2.92,2.6862,2.3185,2.116,1.9139,1.5186,1.4598,1.2882
201,0.794779,3.7328,3.1185,1.1045,2.8844,2.6499,2.2815,2.0786,1.8762,1.4802,1.4213,1.2494
202,0.79494,3.7324,3.1016,1.1198,2.8482,2.6132,2.2441,2.0408,1.8382,1.4416,1.3825,1.2102
203,0.795094,3.732,3.0839,1.1357,2.8106,2.5748,2.205,2.0014,1.7984,1.4012,1.342,1.1694
204,0.795243,3.7316,3.0658,1.1521,2.772,2.5356,2.1652,1.9611,1.7579,1.3599,1.3006,1.1276
205,0.795388,3.7311,3.0475,1.1688,2.7326,2.4955,2.1243,1.92,1.7164,1.3178,1.2583,1.0849
206,0.795529,3.7306,3.0286,1.1858,2.6924,2.4547,2.0827,1.8779,1.674,1.2747,1.2152,1.0413
